term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,0.4169692361688116,0.29689054341048754,0.0,0.16024635561892187,0.1,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,-0.3301582441595747,0.7193082548717615,0.0,0.6462585694962719,0.1,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-4.793742055375092,0.34509363056520515,0.0,4.57416647228376e-43,0.1,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,0.41615062522443713,0.2949818692220343,0.0,0.1583762678012643,0.16311729092278385,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,-0.33387291127132923,0.7204463086694096,0.0,0.6430800695001181,0.16311729092278385,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-4.79356002549865,0.3423913356485791,0.0,1.0502344128809852e-43,0.16311729092278385,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,0.4165050569994325,0.2938152360653089,0.0,0.15637793863716395,0.26607250597988097,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,-0.33873034960793946,0.7087202685616675,0.0,0.6327094242530045,0.26607250597988097,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-4.7907070542020875,0.33767728718632173,0.0,8.230146395060146e-45,0.26607250597988097,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,0.416693699892442,0.2954732753317916,0.0,0.15852623659016946,0.43401026364474377,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,-0.33055673427374554,0.7237124607424844,0.0,0.6478697409213683,0.43401026364474377,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-4.79492100380485,0.34776825170000675,0.0,1.827965788033465e-42,0.43401026364474377,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,0.7255772377800449,0.9329063334412632,0.0,0.43674770117779804,0.7079457843841379,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,0.7086646790433366,3.441301065187107,0.0,0.8368546207201124,0.7079457843841379,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-5.501512728765384,1.095312656556916,0.0,5.27202136813145e-7,0.7079457843841379,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,0.9795442230711124,1.473440799298104,0.0,0.5062090723532698,1.1547819846894583,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,1.154797231318632,0.4642918008353689,0.0,0.012907174381494189,1.1547819846894583,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-6.049414132276894,1.823997935170103,0.0,9.178758807307284e-4,1.1547819846894583,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,1.7598006484717559,2.8600084863502873,0.0,0.5383762808940158,1.8836490894898001,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,1.8836495663169706,0.07874018560820925,0.0,9.015166119391883e-120,1.8836490894898001,-0.5,1.0,degreepopularity,FALSE,FALSE
edges,-7.648371521863065,4.643726004510646,0.0,0.09961470785643878,1.8836490894898001,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree,5.254124184393369,0.13847407231383665,10.0,9.678589927283194e-277,3.072557365267447,-0.5,1.0,degreepopularity,FALSE,FALSE
gwdegree.decay,3.0725576036859628,0.003221298614596333,0.0,0.0,3.072557365267447,-0.5,1.0,degreepopularity,FALSE,FALSE
