term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,0.9714561195857284,0.3616122004710611,0.0,0.007245521895464018,0.1,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-5.4158583034401415,0.3767328674604343,0.0,6.112003541146928e-46,0.1,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,1.0092672989259994,0.37249134393066197,0.0,0.006761575245283934,0.16311729092278385,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-5.49790385539353,0.40465772019602286,0.0,2.6295683873166836e-41,0.16311729092278385,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,1.0697532112050308,0.4002321081957168,0.0,0.007546064956734728,0.26607250597988097,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-5.638947486766431,0.4584615898035518,0.0,2.8657565362954604e-34,0.26607250597988097,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,1.1863575370931227,0.4565194634124295,0.0,0.009385492910561864,0.43401026364474377,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-5.900668701042615,0.5690027157822877,0.0,6.092423945237619e-25,0.43401026364474377,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,1.420108472029357,0.5598581853235013,0.0,0.011225544175816858,0.7079457843841379,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-6.417207915453403,0.7784472115838451,0.0,2.12005574680756e-16,0.7079457843841379,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,2.0029569012913027,0.8202924796878892,0.0,0.01465066906196798,1.1547819846894583,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-7.633977681947057,1.302460962388409,0.0,4.893196125643622e-9,1.1547819846894583,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,3.762970799963229,1.596874906491533,0.0,0.018488856994091706,1.8836490894898001,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-11.198643802326533,2.8587864928442808,0.0,9.076380217847634e-5,1.8836490894898001,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,11.62415707398762,5.042876143690062,0.0,0.021204121556318012,3.072557365267447,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-26.95015802055207,9.756792353817943,0.0,0.005762625132694972,3.072557365267447,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,78.678690682898,34.39219374402324,0.0,0.022197559333113685,5.011872336272722,-0.5,1.0,degreepopularity,FALSE,TRUE
edges,-161.07290196428215,68.45540737949975,0.0,0.018663523115783117,5.011872336272722,-0.5,1.0,degreepopularity,FALSE,TRUE
gwdegree,-0.030465392674990845,0.3350349458575531,0.0,0.9275503158552605,0.1,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.559950063306452,0.3066552053683048,0.0,5.813193829430283e-49,0.1,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,-0.019371990469389082,0.3422855663509765,0.0,0.9548693141611899,0.16311729092278385,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.5695837331336815,0.3238384599193337,0.0,2.34176226427225e-44,0.16311729092278385,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,-0.01140797499571355,0.3598383361483427,0.0,0.9747101362842339,0.26607250597988097,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.573794047755144,0.3651535812562513,0.0,1.8551689892897933e-35,0.26607250597988097,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,0.004779743826701628,0.3884511427734432,0.0,0.9901830772160429,0.43401026364474377,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.589384502664877,0.43199860309870597,0.0,4.4119263640986343e-26,0.43401026364474377,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,0.036139401276534006,0.45602305263682635,0.0,0.9368377224782038,0.7079457843841379,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.629080066123345,0.5788825879823938,0.0,1.5800852559829068e-15,0.7079457843841379,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,0.07797195265161759,0.6248350308023596,0.0,0.9006964077707011,1.1547819846894583,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.7001818196908545,0.9309423317591148,0.0,4.6044090573966566e-7,1.1547819846894583,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,0.19085654936691338,1.1204694063983698,0.0,0.8647526738674565,1.8836490894898001,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-4.913121401005962,1.9367745614295986,0.0,0.011219012120628398,1.8836490894898001,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
gwdegree,0.7341038101641784,3.3532044291629557,0.0,0.8267166808866296,3.072557365267447,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
edges,-5.987565713410606,6.4154533654328665,0.0,0.3507087774759289,3.072557365267447,-0.16666666666666669,1.0,degreepopularity,FALSE,TRUE
