
At 2016-10-15 18:59:03  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.1

At 2016-10-15 19:04:00  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.16

At 2016-10-15 19:09:45  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.27

At 2016-10-15 19:15:39  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.43

At 2016-10-15 19:21:28  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.71

At 2016-10-15 19:26:20  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.15
Error in system(paste(which, shQuote(names[i])), intern = TRUE, ignore.stderr = TRUE) : 
  cannot popen '/usr/bin/which 'pdflatex' 2>/dev/null', probable reason 'Cannot allocate memory'
Error in system(paste(which, shQuote(names[i])), intern = TRUE, ignore.stderr = TRUE) : 
  cannot popen '/usr/bin/which 'pdflatex' 2>/dev/null', probable reason 'Cannot allocate memory'

At 2016-10-15 19:31:56  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.88

At 2016-10-15 19:37:47  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 3.07

At 2016-10-15 19:43:43  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 5.01

At 2016-10-15 19:49:08  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.1

At 2016-10-15 19:53:46  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.16

At 2016-10-15 19:59:19  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.27

At 2016-10-15 20:04:53  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.43

At 2016-10-15 20:10:29  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.71

At 2016-10-15 20:15:22  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.15

At 2016-10-15 20:20:19  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.88

At 2016-10-15 20:25:52  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 3.07

At 2016-10-15 20:31:25  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 5.01

At 2016-10-15 20:37:05  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.1

At 2016-10-15 20:42:44  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.16

