term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,0.1,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,0.1,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,0.16311729092278385,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,0.16311729092278385,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,0.26607250597988097,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,0.26607250597988097,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,0.43401026364474377,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,0.43401026364474377,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,0.7079457843841379,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,0.7079457843841379,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,1.1547819846894583,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,1.1547819846894583,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,1.8836490894898001,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,1.8836490894898001,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,3.072557365267447,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,3.072557365267447,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.06342253504775618,0.18504075225915664,0.0,0.7318018466228939,5.011872336272722,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.8297551070654764,1.3866654891970653,0.0,0.5496127329453733,5.011872336272722,-0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,0.1,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,0.1,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,0.16311729092278385,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,0.16311729092278385,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,0.26607250597988097,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,0.26607250597988097,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,0.43401026364474377,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,0.43401026364474377,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,0.7079457843841379,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,0.7079457843841379,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,1.1547819846894583,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,1.1547819846894583,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,1.8836490894898001,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,1.8836490894898001,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,3.072557365267447,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,3.072557365267447,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.1377284270876194,0.45353225282932297,0.0,0.76138488072333,5.011872336272722,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.16060458217561016,4.889146020132829,0.0,0.9737961607605972,5.011872336272722,-0.16666666666666669,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,0.1,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,0.1,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,0.16311729092278385,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,0.16311729092278385,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,0.26607250597988097,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,0.26607250597988097,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,0.43401026364474377,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,0.43401026364474377,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,0.7079457843841379,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,0.7079457843841379,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,1.1547819846894583,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,1.1547819846894583,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,1.8836490894898001,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,1.8836490894898001,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,3.072557365267447,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,3.072557365267447,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,0.5425825332951199,0.24510893747691315,0.0,0.026899111942800622,5.011872336272722,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5502293838011176,0.3684292808187752,0.0,0.13538413529715937,5.011872336272722,0.16666666666666663,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,0.1,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,0.1,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,0.16311729092278385,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,0.16311729092278385,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,0.26607250597988097,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,0.26607250597988097,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,0.43401026364474377,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,0.43401026364474377,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,0.7079457843841379,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,0.7079457843841379,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,1.1547819846894583,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,1.1547819846894583,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,1.8836490894898001,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,1.8836490894898001,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,3.072557365267447,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,3.072557365267447,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,-0.6787521628454213,0.7335839562991052,0.0,0.3548784457351033,5.011872336272722,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree.decay,0.6632312065075746,5.41451982076607,0.0,0.9025149636713212,5.011872336272722,0.5,1.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,0.1,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,0.1,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,0.16311729092278385,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,0.16311729092278385,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,0.26607250597988097,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,0.26607250597988097,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,0.43401026364474377,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,0.43401026364474377,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,0.7079457843841379,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,0.7079457843841379,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,1.1547819846894583,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,1.1547819846894583,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,1.8836490894898001,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,1.8836490894898001,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,3.072557365267447,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,3.072557365267447,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,1.3727428306503977,0.538049531588835,0.0,0.010761038783077062,5.011872336272722,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.1389289761396963,0.44798923074543306,0.0,0.011042365614727321,5.011872336272722,-0.5,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,0.1,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,0.1,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,0.16311729092278385,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,0.16311729092278385,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,0.26607250597988097,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,0.26607250597988097,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,0.43401026364474377,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,0.43401026364474377,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,0.7079457843841379,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,0.7079457843841379,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,1.1547819846894583,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,1.1547819846894583,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,1.8836490894898001,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,1.8836490894898001,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,3.072557365267447,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,3.072557365267447,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,0.8067307567524218,0.4810735346080448,0.0,0.0936176644537403,5.011872336272722,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,-0.5493497923508373,0.1595606638610345,0.0,5.803041587242549e-4,5.011872336272722,-0.16666666666666669,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,0.1,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,0.1,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,0.16311729092278385,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,0.16311729092278385,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,0.26607250597988097,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,0.26607250597988097,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,0.43401026364474377,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,0.43401026364474377,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,0.7079457843841379,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,0.7079457843841379,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,1.1547819846894583,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,1.1547819846894583,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,1.8836490894898001,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,1.8836490894898001,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree,-0.4854573013493271,0.3736599951202634,0.0,0.19393745441873064,3.072557365267447,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
gwdegree.decay,1.3740215667513764,0.5040408108027373,0.0,0.006433027969479691,3.072557365267447,0.16666666666666663,3.0,degreepopularity,TRUE,FALSE
