
At 2016-10-18 17:24:29  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.1

At 2016-10-18 17:28:35  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.16

At 2016-10-18 17:32:37  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.27

At 2016-10-18 17:36:27  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.43

At 2016-10-18 17:40:28  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.71

At 2016-10-18 17:44:09  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.15

At 2016-10-18 17:47:22  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.88

At 2016-10-18 17:51:15  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 3.07

At 2016-10-18 17:55:12  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 5.01

At 2016-10-18 17:59:22  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.1

At 2016-10-18 18:03:37  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.16

At 2016-10-18 18:07:42  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.27

At 2016-10-18 18:11:00  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.43

At 2016-10-18 18:14:40  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.71

At 2016-10-18 18:18:33  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.15

At 2016-10-18 18:22:24  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.88

At 2016-10-18 18:26:28  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 3.07

At 2016-10-18 18:30:34  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 5.01

At 2016-10-18 18:34:19  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.1

At 2016-10-18 18:37:29  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.16

At 2016-10-18 18:41:26  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.27

At 2016-10-18 18:45:22  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.43

At 2016-10-18 18:49:34  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.71

At 2016-10-18 18:53:28  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 1.15

At 2016-10-18 18:57:24  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 1.88

At 2016-10-18 19:00:34  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 3.07

At 2016-10-18 19:03:54  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 5.01

At 2016-10-18 19:07:41  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.1

At 2016-10-18 19:11:37  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.16

At 2016-10-18 19:15:32  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.27

At 2016-10-18 19:19:36  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.43

At 2016-10-18 19:23:21  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.71

At 2016-10-18 19:26:32  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 1.15

