term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,-0.427156571735978,0.30297460699187684,0.0,0.15863921920041713,0.1,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,-0.3141057448601458,0.6519763242713054,0.0,0.6299872644386411,0.1,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-4.368685502335987,0.29283669474989843,0.0,2.9022569790726163e-49,0.1,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.42941789126682267,0.3014481825302619,0.0,0.15436010755755655,0.16311729092278385,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,-0.3210492685368851,0.6376777802289406,0.0,0.6146588891795719,0.16311729092278385,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-4.370041186062031,0.2883666695162321,0.0,9.611102060956565e-51,0.16311729092278385,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.43126068440021736,0.3003896239592447,0.0,0.1511591934292259,0.26607250597988097,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,-0.3153559128669107,0.6383846516841667,0.0,0.6213348656734565,0.26607250597988097,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-4.367251949231651,0.29024085118616577,0.0,4.564930822589185e-50,0.26607250597988097,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.42623970003137995,0.29921413943417063,0.0,0.1543560089067357,0.43401026364474377,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,-0.3196777587269046,0.6397294246800241,0.0,0.6173030908026869,0.43401026364474377,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-4.370380268631286,0.28878819022445895,0.0,1.3031569235745242e-50,0.43401026364474377,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.5626492999033283,0.7675647248640649,0.0,0.46357380776191415,0.7079457843841379,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,0.7103346937653053,4.340447107841799,0.0,0.8700096434752205,0.7079457843841379,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-3.910774117420588,1.1402549352130107,0.0,6.091051886339202e-4,0.7079457843841379,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.6836276189919719,0.9335595224343051,0.0,0.46403194864524144,1.1547819846894583,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,1.1547819846894583,0.5562751934034764,0.0,0.037953017689960775,1.1547819846894583,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-3.604219623092001,1.0240389872291653,0.0,4.3606975072965235e-4,1.1547819846894583,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-1.0969400238889149,1.6332803170069992,0.0,0.501858446707129,1.8836490894898001,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,1.8836500431304848,0.09957001042559707,0.0,4.05256757236748e-77,1.8836490894898001,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,-2.7172458431795223,2.5114340996714852,0.0,0.27932753178124897,1.8836490894898001,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-3.0151605670063604,4.469974460827649,0.0,0.500001859947024,3.072557365267447,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,3.0725576036860187,0.008632581748012853,0.0,0.0,3.072557365267447,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,1.156166790197046,8.215527676060985,0.0,0.8880893990294233,3.072557365267447,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-19.563903315856507,0.22241388734628537,56.0,0.0,5.011872336272722,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,5.011872634295946,1.0700953647769555e-4,0.0,0.0,5.011872336272722,-0.5,1.0,gwd0.25,FALSE,FALSE
edges,34.26704678131153,0.3982135786255359,88.0,0.0,5.011872336272722,-0.5,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.4415377257559798,0.6853662418173371,0.0,0.5194521649718951,0.1,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,0.6439139911286108,9.740233048136826,0.0,0.9472939682929038,0.1,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
edges,-4.0698008155460395,2.5138154261063073,0.0,0.10551668797366143,0.1,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.44800502427304606,0.7730833657373615,0.0,0.5622754303743505,0.16311729092278385,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,0.7146735348757891,5.188952475056634,0.0,0.8904595495363107,0.16311729092278385,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
edges,-4.046663648210011,1.0751963644447526,0.0,1.6939060400304696e-4,0.16311729092278385,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
gwdegree,-0.4732983334284358,0.7857299808651776,0.0,0.5469570375427388,0.26607250597988097,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
gwdegree.decay,0.820371190249902,2.444956462599324,0.0,0.7372349352559231,0.26607250597988097,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
edges,-3.9871971695504755,0.577687128499758,0.0,5.7737375544877244e-12,0.26607250597988097,-0.16666666666666669,1.0,gwd0.25,FALSE,FALSE
