
At 2016-10-18 11:55:36  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 0.1

At 2016-10-18 11:57:43  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 0.16

At 2016-10-18 12:00:21  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 0.27

At 2016-10-18 12:03:00  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 0.43

At 2016-10-18 12:05:40  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 0.71

At 2016-10-18 12:08:20  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 1.15

At 2016-10-18 12:11:00  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 1.88

At 2016-10-18 12:13:41  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 3.07

At 2016-10-18 12:16:23  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.5, decay = 5.01

At 2016-10-18 12:18:51  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 0.1

At 2016-10-18 12:21:01  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 0.16

At 2016-10-18 12:23:14  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 0.27

At 2016-10-18 12:25:52  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 0.43

At 2016-10-18 12:28:30  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 0.71

At 2016-10-18 12:31:07  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 1.15

At 2016-10-18 12:33:44  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 1.88

At 2016-10-18 12:36:23  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 3.07

At 2016-10-18 12:39:00  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: -0.17, decay = 5.01

At 2016-10-18 12:41:43  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: TRUE, mean degree: 1, coef: 0.17, decay = 0.1

