term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,-0.2898782067521918,0.33187617817187265,0.0,0.3824586611311457,0.1,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-4.352716131650714,0.28913634175428765,0.0,4.1112809301514055e-50,0.1,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.31619765083996465,0.3392591924342842,0.0,0.3513696855330747,0.16311729092278385,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-4.317443168973863,0.3088066794163486,0.0,1.3608445551691361e-43,0.16311729092278385,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.35348345241417867,0.34789794114933315,0.0,0.30965286178767926,0.26607250597988097,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-4.262361653421622,0.33697109165151823,0.0,4.0814885142579696e-36,0.26607250597988097,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.4207976709472306,0.3688097457763764,0.0,0.2539412193126674,0.43401026364474377,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-4.151551372392588,0.38982753536182135,0.0,3.355186439234089e-26,0.43401026364474377,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.5279419814990507,0.41708008102482774,0.0,0.20564256118832155,0.7079457843841379,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-3.9533392075902047,0.49812697325988875,0.0,2.5548347092147526e-15,0.7079457843841379,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.7296433263200346,0.5287559074213785,0.0,0.16767218437050257,1.1547819846894583,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-3.539796688108226,0.7496250219181487,0.0,2.398838814313103e-6,1.1547819846894583,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-1.2831795234460301,0.8692407303389008,0.0,0.1399518809969709,1.8836490894898001,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,-2.4042302437087404,1.457772490577185,0.0,0.09916005280956622,1.8836490894898001,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-3.689064130496159,2.3893586166320793,0.0,0.12266298685282985,3.072557365267447,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,2.4306268067267096,4.518513249052072,0.0,0.5906521710527326,3.072557365267447,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,-23.987194060521567,15.534992444408063,0.0,0.12263410499408305,5.011872336272722,-0.5,1.0,gwd1.0,FALSE,TRUE
edges,43.04332746542016,30.81963120536524,0.0,0.16259037512701582,5.011872336272722,-0.5,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.09895229873923479,0.3385693193666147,0.0,0.7700955105980345,0.1,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-4.665280286617021,0.3152003764618112,0.0,1.5549374545807376e-48,0.1,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.11254813271347058,0.34461107936484414,0.0,0.7439883086459007,0.16311729092278385,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-4.682501444566077,0.3340555007435362,0.0,8.350960921998157e-44,0.16311729092278385,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.14200671667446235,0.36678773339648196,0.0,0.6986520346872958,0.26607250597988097,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-4.71905203274956,0.37744701489754634,0.0,2.459997243534356e-35,0.26607250597988097,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.1892914080373879,0.39687420397093875,0.0,0.6334147413429024,0.43401026364474377,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-4.785128290447567,0.4531522072216442,0.0,8.606694086663119e-26,0.43401026364474377,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.2698602274866474,0.48146070164233346,0.0,0.5751616864231721,0.7079457843841379,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-4.919511443898165,0.6239347917637534,0.0,3.85175496831778e-15,0.7079457843841379,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.44054136049147485,0.6575950822289056,0.0,0.5029349491755188,1.1547819846894583,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-5.237704594728523,0.993772615534402,0.0,1.4181188533181839e-7,1.1547819846894583,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,0.913996661549812,1.2229739053610122,0.0,0.4548843217725632,1.8836490894898001,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-6.167210522440934,2.136348171163239,0.0,0.0039086681971087466,1.8836490894898001,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,2.9072444322137745,3.7124478662641662,0.0,0.4336016776482131,3.072557365267447,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-10.151239655461579,7.127098958531888,0.0,0.1544181377479931,3.072557365267447,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,20.137820434406258,25.636840373307567,0.0,0.4321961990592649,5.011872336272722,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
edges,-44.61134770300797,50.97139071125203,0.0,0.3814949114262566,5.011872336272722,-0.16666666666666669,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.04577020209684033,0.3326582895077732,0.0,0.8905706561479907,0.1,0.16666666666666663,1.0,gwd1.0,FALSE,TRUE
edges,-4.548647567417952,0.3031790577693827,0.0,8.58784879719042e-50,0.1,0.16666666666666663,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.04839065072318679,0.3421893082162517,0.0,0.8875479781109167,0.16311729092278385,0.16666666666666663,1.0,gwd1.0,FALSE,TRUE
edges,-4.544890264265602,0.3242152866458631,0.0,8.239867245872899e-44,0.16311729092278385,0.16666666666666663,1.0,gwd1.0,FALSE,TRUE
gwdegree,-0.052144709612057104,0.361012355150898,0.0,0.8851587290785119,0.26607250597988097,0.16666666666666663,1.0,gwd1.0,FALSE,TRUE
edges,-4.536314407630053,0.3654965325141696,0.0,7.451807187411067e-35,0.26607250597988097,0.16666666666666663,1.0,gwd1.0,FALSE,TRUE
