term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,0.1,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,0.1,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,0.16311729092278385,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,0.16311729092278385,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,0.26607250597988097,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,0.26607250597988097,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,0.43401026364474377,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,0.43401026364474377,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,0.7079457843841379,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,0.7079457843841379,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,1.1547819846894583,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,1.1547819846894583,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,1.8836490894898001,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,1.8836490894898001,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree,-0.574860729191579,0.30468420403453705,0.0,0.05925342393407317,3.072557365267447,-0.5,1.0,gwd1.0,TRUE,FALSE
gwdegree.decay,-0.35507369592759946,0.4482020667280534,0.0,0.4282716174823097,3.072557365267447,-0.5,1.0,gwd1.0,TRUE,FALSE
