
At 2016-10-19 13:04:38  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.1

At 2016-10-19 13:16:44  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.16

At 2016-10-19 13:26:40  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.27

At 2016-10-19 13:37:20  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.43

At 2016-10-19 13:48:11  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.71

At 2016-10-19 13:57:59  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.15

At 2016-10-19 14:08:53  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.88

At 2016-10-19 14:18:39  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 3.07

At 2016-10-19 14:29:42  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 5.01

At 2016-10-19 14:40:13  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.1

At 2016-10-19 14:45:17  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.16

At 2016-10-19 14:51:04  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.27

At 2016-10-19 14:56:58  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.43

At 2016-10-19 15:02:42  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.71

At 2016-10-19 15:07:18  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.15

At 2016-10-19 15:13:01  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.88

At 2016-10-19 15:18:46  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 3.07

At 2016-10-19 15:24:32  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 5.01

At 2016-10-19 15:29:51  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.1

At 2016-10-19 15:34:49  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.16

At 2016-10-19 15:40:28  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.27

At 2016-10-19 15:46:13  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.43

At 2016-10-19 15:52:02  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.71

At 2016-10-19 15:56:44  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 1.15

At 2016-10-19 16:02:17  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 1.88

At 2016-10-19 16:07:58  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 3.07

At 2016-10-19 16:13:40  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 5.01

At 2016-10-19 16:19:04  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.1

At 2016-10-19 16:24:46  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.16

At 2016-10-19 16:31:26  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.27

At 2016-10-19 16:38:08  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.43

At 2016-10-19 16:44:19  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.71

At 2016-10-19 16:50:09  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 1.15

At 2016-10-19 16:56:50  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 1.88

At 2016-10-19 17:03:24  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 3.07

At 2016-10-19 17:09:34  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 5.01

At 2016-10-19 17:15:29  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.1

At 2016-10-19 17:22:32  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.16

At 2016-10-19 17:29:30  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.27

At 2016-10-19 17:35:43  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.43

At 2016-10-19 17:42:14  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.71

At 2016-10-19 17:49:17  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 1.15

At 2016-10-19 17:56:19  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 1.88

At 2016-10-19 18:02:11  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 3.07

At 2016-10-19 18:09:00  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 5.01

At 2016-10-19 18:16:04  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.1

At 2016-10-19 18:22:23  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.16

At 2016-10-19 18:27:32  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.27

At 2016-10-19 18:33:54  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.43

At 2016-10-19 18:40:13  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.71

At 2016-10-19 18:46:32  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 1.15

At 2016-10-19 18:51:54  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 1.88

At 2016-10-19 18:58:05  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 3.07

At 2016-10-19 19:04:21  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 5.01

At 2016-10-19 19:10:46  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.1

At 2016-10-19 19:16:33  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.16

At 2016-10-19 19:23:02  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.27

At 2016-10-19 19:29:59  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.43

At 2016-10-19 19:36:58  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.71

At 2016-10-19 19:42:34  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 1.15

At 2016-10-19 19:49:22  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 1.88

At 2016-10-19 19:56:09  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 3.07

At 2016-10-19 20:02:56  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 5.01

At 2016-10-19 20:08:40  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.1

At 2016-10-19 20:15:37  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.16

At 2016-10-19 20:22:41  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.27

At 2016-10-19 20:29:16  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.43

At 2016-10-19 20:35:30  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.71

At 2016-10-19 20:42:33  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 1.15

At 2016-10-19 20:49:31  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 1.88

At 2016-10-19 20:55:44  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 3.07

At 2016-10-19 21:02:15  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 5.01

At 2016-10-19 21:09:21  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.1
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:22  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.16
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:23  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.27
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:24  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.43
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:25  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.71
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:26  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 1.15
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:27  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 1.88
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:28  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 3.07
Error in svd(X) : a dimension is zero

At 2016-10-19 21:09:29  Sim'ing on gwd3.0, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 5.01
