term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,-0.942472195248534,0.3306545495976821,0.0,0.004385548327638425,0.1,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.9607498532743705,0.3328182570348296,0.0,0.003909782293883323,0.16311729092278385,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.9819546322931885,0.3404123685580474,0.0,0.003935996214178364,0.26607250597988097,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-1.0229131003761367,0.35241235708587937,0.0,0.0037171034255780136,0.43401026364474377,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-1.1067594828538692,0.3918835553397723,0.0,0.00475876351230041,0.7079457843841379,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-1.3198069369361571,0.47707596982407496,0.0,0.005688058932939417,1.1547819846894583,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-2.0554944966764443,0.7683136908485215,0.0,0.007490088934835462,1.8836490894898001,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-6.717712092171501,0.20494361749640366,0.0,1.950790372610054e-213,3.072557365267447,-0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.3140803626536857,0.3337704392035784,0.0,0.3467471339502778,0.1,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.3256323208599204,0.34009185017926147,0.0,0.3383700618108896,0.16311729092278385,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.34973449615104213,0.35557924826990683,0.0,0.3253786380893605,0.26607250597988097,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.3937498362606235,0.3740344569968461,0.0,0.292525290507888,0.43401026364474377,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.4739824445435061,0.4243232201330693,0.0,0.26403504110357373,0.7079457843841379,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.6681116022208999,0.5496713747243298,0.0,0.22424310387486593,1.1547819846894583,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-1.2054326732623286,0.9225565450411425,0.0,0.19140183739348252,1.8836490894898001,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-3.5938454960033113,2.6205662231918714,0.0,0.17031235566768832,3.072557365267447,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-24.16529480147782,16.953959465592128,0.0,0.15411965079900483,5.011872336272722,-0.16666666666666669,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.14330490341794708,0.3369114563552583,0.0,0.6706008752795455,0.1,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.12028115057397046,0.34995560111606167,0.0,0.7310834805935796,0.16311729092278385,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.08274532072929273,0.3617019806742362,0.0,0.8190598048843083,0.26607250597988097,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,-0.02785567339575131,0.3951102351161782,0.0,0.9437977396623736,0.43401026364474377,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.056509930701622385,0.463472355230082,0.0,0.9029615487250632,0.7079457843841379,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.18603449675467487,0.6417139849606562,0.0,0.771902964249985,1.1547819846894583,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.49424507016091834,1.194780004445747,0.0,0.6791334641764557,1.8836490894898001,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,1.8396811091823404,3.6411348382043447,0.0,0.6134061924449468,3.072557365267447,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,12.823368931811975,24.51390758357845,0.0,0.6009240002652059,5.011872336272722,0.16666666666666663,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.3878511876356332,0.34414353682583676,0.0,0.2597953743522722,0.1,0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.42187023510711413,0.3562164178422157,0.0,0.23634772440629173,0.16311729092278385,0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.4736756670937729,0.37986902873208794,0.0,0.2124767890147284,0.26607250597988097,0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.5575088237974456,0.41973024601947023,0.0,0.184155108534422,0.43401026364474377,0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,0.7269490292290123,0.5132114138023552,0.0,0.1567006185862221,0.7079457843841379,0.5,1.0,gwd3.0,TRUE,TRUE
gwdegree,1.1027072070533261,0.7395926578857566,0.0,0.13603425986155226,1.1547819846894583,0.5,1.0,gwd3.0,TRUE,TRUE
