term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,1.613839048857643,0.7038832551081844,0.0,0.02190329656848566,0.1,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,0.6141936173816496,5.205401292061302,0.0,0.906079105361715,0.1,-0.5,1.0,twopath,FALSE,FALSE
edges,-6.585980425036209,5.566634658258149,0.0,0.23681961127041937,0.1,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,1.6928223841862624,0.9969557757617923,0.0,0.08957226568099691,0.16311729092278385,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,0.65496254188166,2.7082277878667282,0.0,0.8089128128103626,0.16311729092278385,-0.5,1.0,twopath,FALSE,FALSE
edges,-6.726888444395051,2.400881133715307,0.0,0.005100937462078817,0.16311729092278385,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,1.7175957439409566,1.0806505991477529,0.0,0.11203199444735948,0.26607250597988097,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,0.6767606686040335,2.09577910170277,0.0,0.7467724828722226,0.26607250597988097,-0.5,1.0,twopath,FALSE,FALSE
edges,-6.779016408243482,1.645082987890421,0.0,3.8377430445348306e-5,0.26607250597988097,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,1.785162461043281,1.1443735524460923,0.0,0.11883629571359458,0.43401026364474377,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,0.6992215924996413,1.6505621813126552,0.0,0.671856770033588,0.43401026364474377,-0.5,1.0,twopath,FALSE,FALSE
edges,-6.89029352830638,1.1882898625857177,0.0,7.1065578433478094e-9,0.43401026364474377,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,1.8042000498973458,1.1817135102032805,0.0,0.12688312933968768,0.7079457843841379,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,0.7079457843841379,1.5334468444909304,0.0,0.6443385773711016,0.7079457843841379,-0.5,1.0,twopath,FALSE,FALSE
edges,-6.936793818264635,1.082035660621055,0.0,1.5815378617987732e-10,0.7079457843841379,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,2.6885036948628733,2.1659506012198038,0.0,0.21456927675117174,1.1547819846894583,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,1.1547819846894583,0.20797337835965232,0.0,2.9623909426790857e-8,1.1547819846894583,-0.5,1.0,twopath,FALSE,FALSE
edges,-8.715030841124968,2.852120249328855,0.0,0.002257837083924886,1.1547819846894583,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,5.304095112235613,4.499778656937863,0.0,0.23855611093399404,1.8836490894898001,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,1.8836490894898001,0.033265882904963726,0.0,0.0,1.8836490894898001,-0.5,1.0,twopath,FALSE,FALSE
edges,-13.963591654562617,7.517948718588609,0.0,0.06331830908645202,1.8836490894898001,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,16.835942356542784,0.18006778833899534,17.0,0.0,3.072557365267447,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,3.072557365267447,0.0010679922580380786,0.0,0.0,3.072557365267447,-0.5,1.0,twopath,FALSE,FALSE
edges,-37.04163980122604,0.20359250385052008,61.0,0.0,3.072557365267447,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,115.56684843859595,0.6792954903138744,100.0,0.0,5.011872336272722,-0.5,1.0,twopath,FALSE,FALSE
gwdegree.decay,5.011872336272722,1.1805287259046178e-5,0.0,0.0,5.011872336272722,-0.5,1.0,twopath,FALSE,FALSE
edges,-234.50931076827652,1.3474748684433024,100.0,0.0,5.011872336272722,-0.5,1.0,twopath,FALSE,FALSE
gwdegree,0.865346433616709,1.0528118067411474,0.0,0.4111515782615517,0.1,-0.16666666666666669,1.0,twopath,FALSE,FALSE
gwdegree.decay,0.7890214778627583,1.7165148334739784,0.0,0.6457770256276115,0.1,-0.16666666666666669,1.0,twopath,FALSE,FALSE
edges,-5.7129203805288755,0.7564072794169245,0.0,5.047424399520063e-14,0.1,-0.16666666666666669,1.0,twopath,FALSE,FALSE
