term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,0.44501630369113265,0.3442354887265719,0.0,0.1961519940842551,0.1,-0.5,1.0,twopath,FALSE,TRUE
edges,-4.954211380512695,0.3383348412613828,0.0,1.460157900330911e-47,0.1,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,0.49607569914724864,0.35813073738476964,0.0,0.1660597371717203,0.16311729092278385,-0.5,1.0,twopath,FALSE,TRUE
edges,-5.022110701770164,0.3663425656763508,0.0,5.223884995836401e-42,0.16311729092278385,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,0.5609737322181637,0.3824172048465131,0.0,0.1424625912951745,0.26607250597988097,-0.5,1.0,twopath,FALSE,TRUE
edges,-5.125428938910883,0.4134761760651312,0.0,8.982076865362295e-35,0.26607250597988097,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,0.692069831075548,0.4256294035771498,0.0,0.10401512595919006,0.43401026364474377,-0.5,1.0,twopath,FALSE,TRUE
edges,-5.338428271123276,0.5083291707676711,0.0,1.5681710038454505e-25,0.43401026364474377,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,0.9279904239836981,0.5245354704236296,0.0,0.0769277329914416,0.7079457843841379,-0.5,1.0,twopath,FALSE,TRUE
edges,-5.7663509083976185,0.7081243167888845,0.0,4.832403530650801e-16,0.7079457843841379,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,1.4255206706647805,0.7572392758950672,0.0,0.05982360946594293,1.1547819846894583,-0.5,1.0,twopath,FALSE,TRUE
edges,-6.73563455546052,1.1848917431844341,0.0,1.3863689825569279e-8,1.1547819846894583,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,2.906826657783236,1.4783026744312737,0.0,0.0493166515216367,1.8836490894898001,-0.5,1.0,twopath,FALSE,TRUE
edges,-9.677778866448365,2.6293789305784463,0.0,2.3513294313776318e-4,1.8836490894898001,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,9.278711501972984,4.761174115678167,0.0,0.05137235832045095,3.072557365267447,-0.5,1.0,twopath,FALSE,TRUE
edges,-22.42068514531878,9.19304569219738,0.0,0.014768002124553741,3.072557365267447,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,64.36388883936255,32.46390158395477,0.0,0.047464048373716566,5.011872336272722,-0.5,1.0,twopath,FALSE,TRUE
edges,-132.58766324716157,64.60577361960141,0.0,0.04019717298881166,5.011872336272722,-0.5,1.0,twopath,FALSE,TRUE
gwdegree,0.32299564614032805,0.34225927695407476,0.0,0.3453607371052133,0.1,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-4.852528189946422,0.3281835588217488,0.0,1.9244014677567217e-48,0.1,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,0.3533355142582335,0.3517946788486274,0.0,0.3152446349564333,0.16311729092278385,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-4.895802301750592,0.351284833517447,0.0,2.471594385378811e-43,0.16311729092278385,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,0.3996415504879332,0.3718187288749397,0.0,0.282503705584145,0.26607250597988097,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-4.967933980034426,0.3951017548175672,0.0,1.0292569561207876e-35,0.26607250597988097,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,0.4840298497647237,0.41670355144052734,0.0,0.24546668549909859,0.43401026364474377,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-5.107570345186151,0.4907788113745803,0.0,4.173292143715491e-25,0.43401026364474377,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,0.6357266032238211,0.49908591177271994,0.0,0.20280054939375358,0.7079457843841379,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-5.383926371724319,0.6614119640150729,0.0,4.955418172195501e-16,0.7079457843841379,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,0.9466384936276264,0.7055452677625181,0.0,0.1797509914948715,1.1547819846894583,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-5.999724848747569,1.0867221010299344,0.0,3.54406336359949e-8,1.1547819846894583,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,1.8586095144206851,1.3436572962147006,0.0,0.16665164445426042,1.8836490894898001,-0.16666666666666669,1.0,twopath,FALSE,TRUE
edges,-7.821357650923833,2.37147882587459,0.0,9.80315185763527e-4,1.8836490894898001,-0.16666666666666669,1.0,twopath,FALSE,TRUE
gwdegree,5.823010745841304,4.243163740185113,0.0,0.17002367965514117,3.072557365267447,-0.16666666666666669,1.0,twopath,FALSE,TRUE
