term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,0.1,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,0.1,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,0.16311729092278385,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,0.16311729092278385,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,0.26607250597988097,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,0.26607250597988097,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,0.43401026364474377,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,0.43401026364474377,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,0.7079457843841379,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,0.7079457843841379,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,1.1547819846894583,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,1.1547819846894583,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,1.8836490894898001,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,1.8836490894898001,-0.5,1.0,twopath,TRUE,FALSE
gwdegree,1.1646608665590144,0.7267944890190167,0.0,0.1091172185081735,3.072557365267447,-0.5,1.0,twopath,TRUE,FALSE
gwdegree.decay,0.6224456117145842,6.041133535018244,0.0,0.9179397074574109,3.072557365267447,-0.5,1.0,twopath,TRUE,FALSE
